sequence_id,frame,model,tau,pck_percent,valid_keypoints
courtyard_backpack_00,0,mp,0.1,7.142857,14
courtyard_backpack_00,0,mp,0.2,28.571429,14
courtyard_backpack_00,0,mp,0.3,50.0,14
courtyard_backpack_00,0,mp,0.4,85.714286,14
courtyard_backpack_00,0,mp,0.5,100.0,14
courtyard_backpack_00,0,mp,0.6,100.0,14
courtyard_backpack_00,0,mp,0.8,100.0,14
courtyard_backpack_00,0,mp,1.0,100.0,14
courtyard_backpack_00,1,mp,0.1,7.142857,14
courtyard_backpack_00,1,mp,0.2,28.571429,14
courtyard_backpack_00,1,mp,0.3,57.142857,14
courtyard_backpack_00,1,mp,0.4,78.571429,14
courtyard_backpack_00,1,mp,0.5,100.0,14
courtyard_backpack_00,1,mp,0.6,100.0,14
courtyard_backpack_00,1,mp,0.8,100.0,14
courtyard_backpack_00,1,mp,1.0,100.0,14
courtyard_backpack_00,2,mp,0.1,7.142857,14
courtyard_backpack_00,2,mp,0.2,21.428571,14
courtyard_backpack_00,2,mp,0.3,42.857143,14
courtyard_backpack_00,2,mp,0.4,71.428571,14
courtyard_backpack_00,2,mp,0.5,100.0,14
courtyard_backpack_00,2,mp,0.6,100.0,14
courtyard_backpack_00,2,mp,0.8,100.0,14
courtyard_backpack_00,2,mp,1.0,100.0,14
courtyard_backpack_00,3,mp,0.1,7.142857,14
courtyard_backpack_00,3,mp,0.2,21.428571,14
courtyard_backpack_00,3,mp,0.3,35.714286,14
courtyard_backpack_00,3,mp,0.4,78.571429,14
courtyard_backpack_00,3,mp,0.5,100.0,14
courtyard_backpack_00,3,mp,0.6,100.0,14
courtyard_backpack_00,3,mp,0.8,100.0,14
courtyard_backpack_00,3,mp,1.0,100.0,14
courtyard_backpack_00,4,mp,0.1,7.142857,14
courtyard_backpack_00,4,mp,0.2,21.428571,14
courtyard_backpack_00,4,mp,0.3,42.857143,14
courtyard_backpack_00,4,mp,0.4,92.857143,14
courtyard_backpack_00,4,mp,0.5,100.0,14
courtyard_backpack_00,4,mp,0.6,100.0,14
courtyard_backpack_00,4,mp,0.8,100.0,14
courtyard_backpack_00,4,mp,1.0,100.0,14
courtyard_backpack_00,5,mp,0.1,7.142857,14
courtyard_backpack_00,5,mp,0.2,28.571429,14
courtyard_backpack_00,5,mp,0.3,50.0,14
courtyard_backpack_00,5,mp,0.4,92.857143,14
courtyard_backpack_00,5,mp,0.5,100.0,14
courtyard_backpack_00,5,mp,0.6,100.0,14
courtyard_backpack_00,5,mp,0.8,100.0,14
courtyard_backpack_00,5,mp,1.0,100.0,14
courtyard_backpack_00,6,mp,0.1,7.142857,14
courtyard_backpack_00,6,mp,0.2,28.571429,14
courtyard_backpack_00,6,mp,0.3,50.0,14
courtyard_backpack_00,6,mp,0.4,92.857143,14
courtyard_backpack_00,6,mp,0.5,100.0,14
courtyard_backpack_00,6,mp,0.6,100.0,14
courtyard_backpack_00,6,mp,0.8,100.0,14
courtyard_backpack_00,6,mp,1.0,100.0,14
courtyard_backpack_00,7,mp,0.1,7.142857,14
courtyard_backpack_00,7,mp,0.2,21.428571,14
courtyard_backpack_00,7,mp,0.3,35.714286,14
courtyard_backpack_00,7,mp,0.4,78.571429,14
courtyard_backpack_00,7,mp,0.5,100.0,14
courtyard_backpack_00,7,mp,0.6,100.0,14
courtyard_backpack_00,7,mp,0.8,100.0,14
courtyard_backpack_00,7,mp,1.0,100.0,14
courtyard_backpack_00,8,mp,0.1,7.142857,14
courtyard_backpack_00,8,mp,0.2,21.428571,14
courtyard_backpack_00,8,mp,0.3,42.857143,14
courtyard_backpack_00,8,mp,0.4,78.571429,14
courtyard_backpack_00,8,mp,0.5,100.0,14
courtyard_backpack_00,8,mp,0.6,100.0,14
courtyard_backpack_00,8,mp,0.8,100.0,14
courtyard_backpack_00,8,mp,1.0,100.0,14
courtyard_backpack_00,9,mp,0.1,14.285714,14
courtyard_backpack_00,9,mp,0.2,28.571429,14
courtyard_backpack_00,9,mp,0.3,42.857143,14
courtyard_backpack_00,9,mp,0.4,78.571429,14
courtyard_backpack_00,9,mp,0.5,100.0,14
courtyard_backpack_00,9,mp,0.6,100.0,14
courtyard_backpack_00,9,mp,0.8,100.0,14
courtyard_backpack_00,9,mp,1.0,100.0,14
courtyard_backpack_00,10,mp,0.1,7.142857,14
