sequence_id,model,tau,pck_percent_mean,frames_used
courtyard_backpack_00,mp,0.1,14.78379,1262
courtyard_backpack_00,mp,0.2,26.256509,1262
courtyard_backpack_00,mp,0.3,48.415214,1262
courtyard_backpack_00,mp,0.4,70.104143,1262
courtyard_backpack_00,mp,0.5,86.812316,1262
courtyard_backpack_00,mp,0.6,96.55309,1262
courtyard_backpack_00,mp,0.8,99.784922,1262
courtyard_backpack_00,mp,1.0,100.0,1262
courtyard_backpack_00,vibe,0.1,38.69142,1262
courtyard_backpack_00,vibe,0.2,77.597917,1262
courtyard_backpack_00,vibe,0.3,96.524791,1262
courtyard_backpack_00,vibe,0.4,99.043468,1262
courtyard_backpack_00,vibe,0.5,99.688703,1262
courtyard_backpack_00,vibe,0.6,99.9717,1262
courtyard_backpack_00,vibe,0.8,100.0,1262
courtyard_backpack_00,vibe,1.0,100.0,1262
courtyard_bodyScannerMotions_00,mp,0.1,14.50733,1257
courtyard_bodyScannerMotions_00,mp,0.2,30.310263,1257
courtyard_bodyScannerMotions_00,mp,0.3,49.596545,1257
courtyard_bodyScannerMotions_00,mp,0.4,68.138425,1257
courtyard_bodyScannerMotions_00,mp,0.5,83.41857,1257
courtyard_bodyScannerMotions_00,mp,0.6,91.072849,1257
courtyard_bodyScannerMotions_00,mp,0.8,96.834868,1257
courtyard_bodyScannerMotions_00,mp,1.0,98.920332,1257
courtyard_bodyScannerMotions_00,vibe,0.1,38.015684,1257
courtyard_bodyScannerMotions_00,vibe,0.2,75.514263,1257
courtyard_bodyScannerMotions_00,vibe,0.3,91.362655,1257
courtyard_bodyScannerMotions_00,vibe,0.4,96.266621,1257
courtyard_bodyScannerMotions_00,vibe,0.5,98.43164,1257
courtyard_bodyScannerMotions_00,vibe,0.6,99.249915,1257
courtyard_bodyScannerMotions_00,vibe,0.8,99.784066,1257
courtyard_bodyScannerMotions_00,vibe,1.0,99.95454,1257
courtyard_box_00,mp,0.1,12.52495,1002
courtyard_box_00,mp,0.2,24.222983,1002
courtyard_box_00,mp,0.3,50.570288,1002
courtyard_box_00,mp,0.4,69.817508,1002
courtyard_box_00,mp,0.5,86.719418,1002
courtyard_box_00,mp,0.6,94.696322,1002
courtyard_box_00,mp,0.8,99.607927,1002
courtyard_box_00,mp,1.0,100.0,1002
courtyard_box_00,vibe,0.1,29.89022,1002
courtyard_box_00,vibe,0.2,62.874251,1002
courtyard_box_00,vibe,0.3,85.628743,1002
courtyard_box_00,vibe,0.4,94.368406,1002
courtyard_box_00,vibe,0.5,97.105788,1002
courtyard_box_00,vibe,0.6,98.488737,1002
courtyard_box_00,vibe,0.8,99.586541,1002
courtyard_box_00,vibe,1.0,99.921585,1002
courtyard_jumpBench_01,mp,0.1,11.066236,619
courtyard_jumpBench_01,mp,0.2,20.516963,619
courtyard_jumpBench_01,mp,0.3,39.476114,619
courtyard_jumpBench_01,mp,0.4,61.35472,619
courtyard_jumpBench_01,mp,0.5,83.060235,619
courtyard_jumpBench_01,mp,0.6,93.641819,619
courtyard_jumpBench_01,mp,0.8,99.330718,619
courtyard_jumpBench_01,mp,1.0,100.0,619
courtyard_jumpBench_01,vibe,0.1,30.117701,619
courtyard_jumpBench_01,vibe,0.2,73.032541,619
courtyard_jumpBench_01,vibe,0.3,95.418878,619
courtyard_jumpBench_01,vibe,0.4,99.2961,619
courtyard_jumpBench_01,vibe,0.5,99.896146,619
courtyard_jumpBench_01,vibe,0.6,99.942303,619
courtyard_jumpBench_01,vibe,0.8,100.0,619
courtyard_jumpBench_01,vibe,1.0,100.0,619
courtyard_laceShoe_00,mp,0.1,11.354918,931
courtyard_laceShoe_00,mp,0.2,20.454197,931
courtyard_laceShoe_00,mp,0.3,40.225564,931
courtyard_laceShoe_00,mp,0.4,63.771674,931
courtyard_laceShoe_00,mp,0.5,82.315483,931
courtyard_laceShoe_00,mp,0.6,93.041277,931
courtyard_laceShoe_00,mp,0.8,99.907933,931
courtyard_laceShoe_00,mp,1.0,100.0,931
courtyard_laceShoe_00,vibe,0.1,41.522173,931
courtyard_laceShoe_00,vibe,0.2,80.888446,931
courtyard_laceShoe_00,vibe,0.3,97.928495,931
courtyard_laceShoe_00,vibe,0.4,99.900261,931
courtyard_laceShoe_00,vibe,0.5,100.0,931
courtyard_laceShoe_00,vibe,0.6,100.0,931
courtyard_laceShoe_00,vibe,0.8,100.0,931
courtyard_laceShoe_00,vibe,1.0,100.0,931
courtyard_relaxOnBench_00,mp,0.1,14.964158,558
courtyard_relaxOnBench_00,mp,0.2,28.609831,558
courtyard_relaxOnBench_00,mp,0.3,48.195084,558
courtyard_relaxOnBench_00,mp,0.4,66.308244,558
courtyard_relaxOnBench_00,mp,0.5,83.947773,558
courtyard_relaxOnBench_00,mp,0.6,93.881208,558
courtyard_relaxOnBench_00,mp,0.8,97.055812,558
courtyard_relaxOnBench_00,mp,1.0,99.52637,558
courtyard_relaxOnBench_00,vibe,0.1,40.15617,558
courtyard_relaxOnBench_00,vibe,0.2,79.979519,558
courtyard_relaxOnBench_00,vibe,0.3,94.982079,558
courtyard_relaxOnBench_00,vibe,0.4,97.132616,558
courtyard_relaxOnBench_00,vibe,0.5,99.206349,558
courtyard_relaxOnBench_00,vibe,0.6,99.84639,558
courtyard_relaxOnBench_00,vibe,0.8,100.0,558
courtyard_relaxOnBench_00,vibe,1.0,100.0,558
courtyard_relaxOnBench_01,mp,0.1,13.935647,959
courtyard_relaxOnBench_01,mp,0.2,22.419187,959
courtyard_relaxOnBench_01,mp,0.3,39.468196,959
courtyard_relaxOnBench_01,mp,0.4,60.457322,959
courtyard_relaxOnBench_01,mp,0.5,80.448384,959
courtyard_relaxOnBench_01,mp,0.6,93.281692,959
courtyard_relaxOnBench_01,mp,0.8,99.694622,959
courtyard_relaxOnBench_01,mp,1.0,100.0,959
courtyard_relaxOnBench_01,vibe,0.1,40.592879,959
courtyard_relaxOnBench_01,vibe,0.2,81.118725,959
courtyard_relaxOnBench_01,vibe,0.3,95.434232,959
courtyard_relaxOnBench_01,vibe,0.4,99.136005,959
courtyard_relaxOnBench_01,vibe,0.5,99.679726,959
courtyard_relaxOnBench_01,vibe,0.6,99.947862,959
courtyard_relaxOnBench_01,vibe,0.8,100.0,959
courtyard_relaxOnBench_01,vibe,1.0,100.0,959
flat_guitar_01,mp,0.1,7.975182,472
flat_guitar_01,mp,0.2,19.309927,472
flat_guitar_01,mp,0.3,42.145884,472
flat_guitar_01,mp,0.4,60.97155,472
flat_guitar_01,mp,0.5,79.509685,472
flat_guitar_01,mp,0.6,82.475787,472
flat_guitar_01,mp,0.8,99.409806,472
flat_guitar_01,mp,1.0,100.0,472
flat_guitar_01,vibe,0.1,22.336562,472
flat_guitar_01,vibe,0.2,56.280266,472
flat_guitar_01,vibe,0.3,77.254843,472
flat_guitar_01,vibe,0.4,89.906174,472
flat_guitar_01,vibe,0.5,92.115617,472
flat_guitar_01,vibe,0.6,94.249395,472
